date,factor,horizon,sample_size,ic,rank_ic
2020-01-02,amihud_illiquidity_20,1,2705,0.01988768084621846,0.05512857475839112
2020-01-02,amihud_illiquidity_20,5,2699,0.02429851150755416,0.040022359132587434
2020-01-02,amihud_illiquidity_20,20,2691,-0.06451466882549152,-0.08228956560062349
2020-01-02,amount_change_5_20,1,2708,0.012535846550626888,-0.057516546548274546
2020-01-02,amount_change_5_20,5,2702,-0.08581845782902309,-0.174911166724773
2020-01-02,amount_change_5_20,20,2694,0.06821262151367714,0.04933048808435033
2020-01-02,low_volatility_20,1,2705,-0.09115000087517901,-0.051309371920462074
2020-01-02,low_volatility_20,5,2699,-0.08261861944864865,-0.05618245875175035
2020-01-02,low_volatility_20,20,2691,-0.08793097102878489,-0.028208784055801985
2020-01-02,momentum_20,1,2705,0.0702541113211966,-0.015549723447227852
2020-01-02,momentum_20,5,2699,0.024803103952075495,-0.055326515226926
2020-01-02,momentum_20,20,2691,0.1332126338415714,0.1151285848205357
2020-01-02,momentum_60_skip_5,1,2644,0.006486059714667549,-0.07075254615235868
2020-01-02,momentum_60_skip_5,5,2640,0.07705689699258181,0.022710993609656418
2020-01-02,momentum_60_skip_5,20,2634,0.14205700847706618,0.16298328989161218
2020-01-02,overnight_reversal_5,1,2731,-0.016037614883314056,0.013633705410882607
2020-01-02,overnight_reversal_5,5,2725,0.01619237981267793,0.02843739435952455
2020-01-02,overnight_reversal_5,20,2716,-0.009285382805737303,-0.018203313454338465
2020-01-02,reversal_5,1,2731,-0.01877726173357555,0.10177192921228835
2020-01-02,reversal_5,5,2725,0.06817314153900007,0.13103485456576974
2020-01-02,reversal_5,20,2716,-0.058528049000857875,-0.03914367653831871
2020-01-03,amihud_illiquidity_20,1,2699,0.0340010061761685,0.034923910532606045
2020-01-03,amihud_illiquidity_20,5,2693,-0.042348158967093284,-0.02848582549744961
2020-01-03,amihud_illiquidity_20,20,2687,-0.09722054472589818,-0.1181415721925654
2020-01-03,amount_change_5_20,1,2699,-0.11186677858139157,-0.13588616023214023
2020-01-03,amount_change_5_20,5,2693,-0.13761119958046722,-0.18340256637635785
2020-01-03,amount_change_5_20,20,2687,0.04348036406049782,0.025289582410274455
2020-01-03,low_volatility_20,1,2699,-0.09107190961720106,-0.03346238308043671
2020-01-03,low_volatility_20,5,2693,-0.06364025486768898,-0.04408113676150716
2020-01-03,low_volatility_20,20,2687,-0.0787137268969489,-0.017107461070322485
2020-01-03,momentum_20,1,2699,0.00894321745680875,-0.09985443999182395
2020-01-03,momentum_20,5,2693,-0.00408039615146521,-0.05972887191563673
2020-01-03,momentum_20,20,2687,0.0847313497300825,0.07249001375102278
2020-01-03,momentum_60_skip_5,1,2640,0.05359277470455224,0.003741737671321622
