factor,test_rank_ic,train_rank_ic,validation_rank_ic,test_rank_ic_ir,train_rank_ic_ir,validation_rank_ic_ir,test_spread,train_spread,validation_spread,test_monotonicity,train_monotonicity,validation_monotonicity,family,rank_train_rank_ic,rank_validation_rank_ic,rank_train_spread,rank_validation_spread,base_score,direction_consistent,selection_score,selected,selection_used_test_data
low_volatility_20,0.052809379152620566,0.07788403849781432,0.0662750386703376,0.2806532534422826,0.5327147896615311,0.2665254995884029,-0.0003671733895068214,0.004077976960633655,0.005173059518162796,-0.06026312037411338,0.10672741326078398,0.06342309088556436,risk,1.0,1.0,0.8571428571428571,1.0,0.9642857142857143,True,0.9642857142857143,True,False
reversal_5,0.04583980281887771,0.026092352807065504,0.039005666678869386,0.39852702989720845,0.21198119748597877,0.20084516741588254,0.0034281283328586568,0.002581132988111176,0.004917968146775046,0.11506186165933373,0.06613010708986018,0.07190743116861424,reversal,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7857142857142857,True,0.7857142857142857,True,False
amihud_illiquidity_20,0.04436994306275722,0.05020345480719353,0.01986968008463538,0.29977044073720616,0.3354307566588027,0.07796545064691443,0.0046745172722684756,0.005422314741557101,0.0009364635888246818,0.19925653632386947,0.23417827279498807,0.1643703025709265,liquidity,0.8571428571428571,0.7142857142857143,1.0,0.5714285714285714,0.7857142857142856,True,0.7857142857142856,True,False
overnight_reversal_5,-0.012977352898289631,-0.01792229070815384,-0.006966775708833363,-0.1489338382973042,-0.2552608684187003,-0.0723247380787213,-0.0005944418077923032,-0.0015355957683014644,0.001029761436125036,-0.03027579743294831,-0.11690248922718711,-0.04843760942983556,overnight_reversal,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.5714285714285714,False,0.0714285714285714,False,False
amount_change_5_20,-0.04927157481891365,-0.024055516001037783,-0.044887532138003804,-0.5233430952246994,-0.2559050777828799,-0.394021726624573,-0.00357373727306554,-0.0015160726146578982,-0.005004194681756274,-0.1915406518915493,-0.05422938394158433,-0.15753401063436387,volume_price,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.46428571428571425,False,-0.035714285714285754,False,False
momentum_60_skip_5,-0.04709941862885347,-0.030801090842391864,-0.052366538769212434,-0.35896767232520344,-0.20655998489732652,-0.23258263590566272,-0.0025729187279341834,-0.0018234372804580143,-0.006368510912491485,-0.02766608602844426,-0.029051643661285292,-0.11228764318193049,momentum,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,False,-0.2142857142857143,False,False
momentum_20,-0.07326059748003627,-0.0395365033078193,-0.06833690005814966,-0.5238823956807224,-0.2944248324140857,-0.3259300718338765,-0.0048131781617653255,-0.002876772677051695,-0.008695071542246495,-0.09655845622179386,-0.045029405268045754,-0.1967625317254641,momentum,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,False,-0.35714285714285715,False,False
