factor,horizon,sample_period,dates,mean_high_minus_low,std_high_minus_low,spread_ir,spread_t_stat,positive_spread_ratio,average_group_monotonicity
amihud_illiquidity_20,1,test_2025,243,0.000919358658207153,0.008311733328262787,0.11060973949693663,1.7242351975858703,0.5679012345679012,0.12746488539903164
amihud_illiquidity_20,1,train_2020_2023,970,0.001036379893069962,0.00841142054673482,0.12321104233366006,3.837386105718131,0.5288659793814433,0.07853423483829476
amihud_illiquidity_20,1,validation_2024,242,0.00010278962276178087,0.01638245629991064,0.006274371857310649,0.09760631953578865,0.5702479338842975,0.12150908637113648
amihud_illiquidity_20,5,test_2025,243,0.0046745172722684756,0.017927968210226512,0.26073881978449887,4.064515950350676,0.6213991769547325,0.19925653632386947
amihud_illiquidity_20,5,train_2020_2023,970,0.005422314741557101,0.020846260308205133,0.260109710873315,8.101070906977764,0.622680412371134,0.23417827279498807
amihud_illiquidity_20,5,validation_2024,242,0.0009364635888246818,0.042385784337242736,0.022093812901365795,0.34369906834609687,0.5743801652892562,0.1643703025709265
amihud_illiquidity_20,20,test_2025,242,0.017982873561311473,0.039063535278572016,0.4603493624699102,7.161355430182303,0.6942148760330579,0.3071649189145924
amihud_illiquidity_20,20,train_2020_2023,970,0.019708635332414702,0.04645554705722785,0.4242471907205387,13.213103665272632,0.709278350515464,0.38760773807598453
amihud_illiquidity_20,20,validation_2024,242,0.000102439197175976,0.07983279793268888,0.0012831718269770242,0.019961469006225672,0.5371900826446281,0.0965588649848852
amount_change_5_20,1,test_2025,243,-0.0011873974735873516,0.006520587576372565,-0.18209976626798205,-2.838654425003059,0.4074074074074074,-0.120340038396505
amount_change_5_20,1,train_2020_2023,970,-0.0005449228489037782,0.0066110891922014185,-0.08242557815534857,-2.5671300427162174,0.4505154639175258,-0.05926332864910409
amount_change_5_20,1,validation_2024,242,-0.0010793122944881368,0.007823876756899153,-0.13795108589055818,-2.146015262715754,0.43388429752066116,-0.11710934146505501
amount_change_5_20,5,test_2025,243,-0.00357373727306554,0.01291495722058226,-0.2767130554153257,-4.313529639872698,0.36213991769547327,-0.1915406518915493
amount_change_5_20,5,train_2020_2023,970,-0.0015160726146578982,0.014175796337539128,-0.1069479681111928,-3.3308755375455457,0.4484536082474227,-0.05422938394158433
amount_change_5_20,5,validation_2024,242,-0.005004194681756274,0.01959742428868597,-0.2553496116653099,-3.972307723601627,0.3925619834710744,-0.15753401063436387
amount_change_5_20,20,test_2025,242,-0.009824557973625638,0.026595886598534194,-0.36940140864366255,-5.746537302699528,0.3760330578512397,-0.24535218034679016
amount_change_5_20,20,train_2020_2023,970,-0.00544598494203883,0.02483279951084266,-0.2193061213118951,-6.830250332127046,0.41030927835051545,-0.11918334626255464
amount_change_5_20,20,validation_2024,242,-0.014185135631995341,0.02880293393612762,-0.49248926041533836,-7.661334905427132,0.30991735537190085,-0.28453764335244447
low_volatility_20,1,test_2025,243,0.0003281686718253525,0.011708867408150084,0.028027362543786866,0.43690334335192577,0.49794238683127573,-0.00726181215848084
low_volatility_20,1,train_2020_2023,970,0.0010121694774537474,0.009978917627180825,0.10143078791398928,3.1590439368180827,0.5257731958762887,0.03477068815092597
low_volatility_20,1,validation_2024,242,0.001743334183943621,0.016163351854642852,0.10785721919694867,1.677864564069898,0.5206611570247934,0.02663281287792029
low_volatility_20,5,test_2025,243,-0.0003671733895068214,0.025138788014427236,-0.014605850898464133,-0.22768268259523874,0.4567901234567901,-0.06026312037411338
low_volatility_20,5,train_2020_2023,970,0.004077976960633655,0.02194931836948141,0.18579059686444394,5.786415255298304,0.5639175257731959,0.10672741326078398
low_volatility_20,5,validation_2024,242,0.005173059518162796,0.04239096761682239,0.12203211695762103,1.8983742233122416,0.5537190082644629,0.06342309088556436
low_volatility_20,20,test_2025,242,-0.005896371842253184,0.05273933194526504,-0.11180217163866754,-1.7392336217758504,0.40082644628099173,-0.1713251754718705
low_volatility_20,20,train_2020_2023,970,0.013379041053220379,0.04361400225204917,0.3067602229188167,9.553992847717966,0.6195876288659794,0.19750213734904917
