factor,horizon,sample_period,dates,average_sample_size,mean_ic,std_ic,ic_ir,ic_t_stat,positive_ic_ratio,mean_rank_ic,std_rank_ic,rank_ic_ir,rank_ic_t_stat,positive_rank_ic_ratio
amihud_illiquidity_20,1,test_2025,243,3023.201646090535,0.013599643549942263,0.12336641393016257,0.11023781203238175,1.7184374221978163,0.5637860082304527,0.022765300405464612,0.16803842301697344,0.13547675583199864,2.1118736191106238,0.5843621399176955
amihud_illiquidity_20,1,train_2020_2023,970,2896.6587628865977,0.014854729472776244,0.11886250922401714,0.12497405253981231,3.8922947465443896,0.5319587628865979,0.026241658243537056,0.14184428378414224,0.18500328348424283,5.7618945194226345,0.5711340206185567
amihud_illiquidity_20,1,validation_2024,242,3044.694214876033,0.012431010865917675,0.1968160095818823,0.06316056753882078,0.9825478434264042,0.5661157024793388,0.013430771342010688,0.24180962306368844,0.055542749588891493,0.864042407361133,0.5454545454545454
amihud_illiquidity_20,5,test_2025,243,3019.456790123457,0.02882785266144565,0.11013465612021321,0.2617509662896639,4.080293752895517,0.6172839506172839,0.044369943062757204,0.14801306944621048,0.29977044073720605,4.672958705677404,0.6172839506172839
amihud_illiquidity_20,5,train_2020_2023,970,2892.8092783505153,0.03467275717434482,0.1252202727375338,0.2768941195889276,8.623818345665658,0.6195876288659794,0.05020345480719354,0.14966860912596644,0.33543075665880295,10.446931546502837,0.6484536082474227
amihud_illiquidity_20,5,validation_2024,242,3041.9752066115702,0.013504132347853788,0.20858147805680208,0.06474272056014613,1.0071603682919907,0.5661157024793388,0.019869680084635362,0.25485237268261396,0.07796545064691435,1.212857774715361,0.5578512396694215
amihud_illiquidity_20,20,test_2025,242,3004.913223140496,0.053296637022820684,0.11422810024780317,0.46658078797774355,7.258293661309355,0.6735537190082644,0.08170660589121713,0.14475057927311863,0.5644647938648403,8.781011436623695,0.7520661157024794
amihud_illiquidity_20,20,train_2020_2023,970,2878.7876288659795,0.06570897847313639,0.13873985619770834,0.4736128483476239,14.750588334583504,0.7041237113402062,0.09124354777043193,0.15978233363346658,0.5710490371215913,17.785221188210496,0.756701030927835
amihud_illiquidity_20,20,validation_2024,242,3031.504132231405,-0.0048372357268834845,0.2287644394934875,-0.021145050942330535,-0.3289397960168522,0.5330578512396694,0.011885838606607926,0.2815762548883816,0.04221179307651328,0.6566613928698097,0.5495867768595041
amount_change_5_20,1,test_2025,243,3024.0576131687244,-0.020674853211433832,0.09425853927591246,-0.21934196487932675,-3.41920284662684,0.3991769547325103,-0.04054369438323852,0.10859589651818996,-0.37334462611529157,-5.819866750480421,0.3497942386831276
