factor,horizon,sample_period,factor_group,dates,average_assets,mean_group_return,std_group_return
low_volatility_20,20,validation_2024,2,242,606.3223140495868,0.012355347713328062,0.10824425175429839
low_volatility_20,20,validation_2024,3,242,608.6280991735537,0.0130788618713463,0.09891053791097876
low_volatility_20,20,validation_2024,4,242,610.0041322314049,0.012104898247842347,0.08829532864257066
low_volatility_20,20,validation_2024,5,242,611.1652892561983,0.01289504472596421,0.06759572912520431
momentum_20,1,test_2025,1,243,605.6543209876543,0.0018978349958704917,0.012998492937000188
momentum_20,1,test_2025,2,243,606.3292181069959,0.0017693866337949531,0.01126385764013182
momentum_20,1,test_2025,3,243,606.074074074074,0.0017367231952803584,0.010702101694955201
momentum_20,1,test_2025,4,243,605.7777777777778,0.0016265117507380201,0.010894073353461585
momentum_20,1,test_2025,5,243,599.366255144033,0.00044762340387164296,0.01304974841594144
momentum_20,1,train_2020_2023,1,970,579.921649484536,0.00048219447651918796,0.013994076227391601
momentum_20,1,train_2020_2023,2,970,580.5113402061855,0.0006480738431338371,0.012398611810915887
momentum_20,1,train_2020_2023,3,970,580.3876288659794,0.0007072623979954341,0.011965463903393694
momentum_20,1,train_2020_2023,4,970,579.9484536082474,0.0007035365387441407,0.012140904533975694
momentum_20,1,train_2020_2023,5,970,575.8896907216495,-0.0003892143804026711,0.013780062016146427
momentum_20,1,validation_2024,1,242,610.2066115702479,0.0003759969768023556,0.022896617765747293
momentum_20,1,validation_2024,2,242,611.2933884297521,0.0005317814437420309,0.021152783349104937
momentum_20,1,validation_2024,3,242,610.7603305785124,0.0004686028710978548,0.019947987622744735
momentum_20,1,validation_2024,4,242,610.2396694214876,0.00040335915947218003,0.01877846295956012
momentum_20,1,validation_2024,5,242,602.194214876033,-0.0012617508889051314,0.018505099126475258
momentum_20,5,test_2025,1,243,604.5349794238683,0.009233646103153999,0.027495579803613997
momentum_20,5,test_2025,2,243,605.835390946502,0.008806558230380833,0.02284765207562561
momentum_20,5,test_2025,3,243,605.5432098765432,0.008481265615446362,0.021783171199510645
momentum_20,5,test_2025,4,243,605.283950617284,0.008080549736484016,0.022434546790212156
momentum_20,5,test_2025,5,243,598.2592592592592,0.004420467941388669,0.02817890323807484
momentum_20,5,train_2020_2023,1,970,578.9360824742269,0.002059691757339831,0.03297440538985888
momentum_20,5,train_2020_2023,2,970,579.9628865979381,0.0027673010430125616,0.029288976146096567
momentum_20,5,train_2020_2023,3,970,579.8010309278351,0.0031686485272092034,0.027784791262942355
momentum_20,5,train_2020_2023,4,970,579.2226804123711,0.003287007984198746,0.02773494036155516
momentum_20,5,train_2020_2023,5,970,574.8865979381443,-0.0008170809197118647,0.030819519090468223
momentum_20,5,validation_2024,1,242,609.2190082644628,0.004353531232281384,0.05836716716008173
momentum_20,5,validation_2024,2,242,610.9256198347107,0.0040054353010268405,0.05282244245585417
momentum_20,5,validation_2024,3,242,610.3925619834711,0.003051904909194504,0.050162999085144204
momentum_20,5,validation_2024,4,242,609.9793388429752,0.0018450971500882487,0.04708032640940328
momentum_20,5,validation_2024,5,242,601.4586776859504,-0.004341540309965106,0.04748168683126646
momentum_20,20,test_2025,1,242,600.6776859504132,0.035147683868973816,0.04992292423129293
momentum_20,20,test_2025,2,242,603.3347107438017,0.035048708149588374,0.04178699717960571
momentum_20,20,test_2025,3,242,603.396694214876,0.03196026872505911,0.03933630266461834
