period,model,months,total_return,annualized_return,max_drawdown,annualized_volatility,average_monthly_turnover,total_cost_return,rank_ic,params
validation,lightgbm,24,-0.16004119827155183,-0.08698292688933817,0.29448062615963755,0.1955419221858563,1.599561403508772,0.03021157894736842,0.04862962482621722,"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""num_leaves"": 15}"
test,lightgbm,11,0.28453652505425686,0.3496723160761763,0.04368681927156004,0.17937042741308173,1.5,0.0127,0.024419496495795667,"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""num_leaves"": 15}"
validation,ridge,24,-0.30996116043391075,-0.1760013257159141,0.3927111199210992,0.2180224888062675,1.4041666666666668,0.026459999999999997,-0.004194629295987181,"{""alpha"": 0.1}"
test,ridge,11,0.20629921266501916,0.25183114944933105,0.08537700406500626,0.18910572402108816,1.2636363636363637,0.010620000000000001,0.034702756930871284,"{""alpha"": 0.1}"
test,csi300_benchmark,11,0.22848526526291413,0.27945253764032585,0.030415634526902435,0.12939591902259132,0.0,0.0,,{}
validation,csi300_benchmark,24,-0.06961984944674648,-0.036953042935568114,0.2094843318240327,0.19700285853165736,0.0,0.0,,{}
