date,period,model,gross_return,turnover_buy,turnover_sell,cost_return,net_return,nav,holdings
2023-01-31,validation,lightgbm,0.0015041356941438433,1.0,0.0,0.0003,0.0012041356941438434,1.001204135694144,20.0
2023-02-28,validation,lightgbm,-0.06468659960439622,0.8,0.8,0.0012799999999999999,-0.06596659960439623,0.9351581033525428,20.0
2023-03-31,validation,lightgbm,-0.0484507831905392,0.75,0.75,0.0012,-0.0496507831905392,0.8887267711141099,20.0
2023-04-28,validation,lightgbm,-0.045641188755316864,0.65,0.65,0.00104,-0.04668118875531686,0.8472399489598288,20.0
2023-05-31,validation,lightgbm,0.02888587250734557,0.8500000000000001,0.8500000000000001,0.00136,0.027525872507345568,0.8705609677780269,20.0
2023-06-30,validation,lightgbm,0.04781623858020334,1.0,1.0,0.0015999999999999999,0.04621623858020334,0.910795021163469,20.0
2023-07-31,validation,lightgbm,-0.03269532732935296,0.8,0.8,0.0012799999999999999,-0.03397532732935296,0.8798504621894953,20.0
2023-08-31,validation,lightgbm,-0.03935919297862711,0.75,0.75,0.0012,-0.04055919297862711,0.8441644375012173,20.0
2023-09-28,validation,lightgbm,-0.02159351623296049,0.8,0.8,0.0012799999999999999,-0.02287351623296049,0.8248554285367452,20.0
2023-10-31,validation,lightgbm,-0.01416001034471045,0.8,0.8,0.0012799999999999999,-0.01544001034471045,0.8121196521872474,20.0
2023-11-30,validation,lightgbm,-0.026525052719832735,0.75,0.75,0.0012,-0.027725052719832735,0.7896035920155438,20.0
2023-12-29,validation,lightgbm,-0.06663416690978535,0.7000000000000001,0.7000000000000001,0.00112,-0.06775416690978535,0.7361046584495565,20.0
2024-01-31,validation,lightgbm,0.09516543283531567,0.8,0.8,0.0012799999999999999,0.09388543283531567,0.8052141629201853,20.0
2024-02-29,validation,lightgbm,-0.012789422970831216,0.8500000000000001,0.8500000000000001,0.00136,-0.014149422970831216,0.7938208471469238,20.0
2024-03-29,validation,lightgbm,-0.0020530198705750345,0.7000000000000001,0.7000000000000001,0.00112,-0.0031730198705750344,0.7913020378252499,20.0
2024-04-30,validation,lightgbm,0.024956597990102407,0.9,0.9,0.00144,0.023516597990102407,0.8099107697375351,20.0
2024-05-31,validation,lightgbm,-0.05620619042438677,0.9,0.9,0.00144,-0.05764619042438677,0.7632224992784834,20.0
2024-06-28,validation,lightgbm,-0.017177207396851073,0.9,0.9,0.00144,-0.018617207396851073,0.7490134277194729,20.0
2024-07-31,validation,lightgbm,-0.05565424341937273,0.8,0.8,0.0012799999999999999,-0.056934243419372726,0.7063689149013137,20.0
2024-08-30,validation,lightgbm,0.15877095318575224,0.7999999999999999,0.8,0.0012799999999999999,0.15749095318575224,0.8176156286099071,19.0
2024-09-30,validation,lightgbm,-0.06651183266658381,0.8947368421052633,0.894736842105263,0.0014315789473684209,-0.06794341161395223,0.7620640334132639,10.0
2024-10-31,validation,lightgbm,0.01770812785986639,0.9500000000000001,0.9500000000000001,0.00152,0.01618812785986639,0.7744004234235633,20.0
2024-11-29,validation,lightgbm,0.001626718067632732,0.8,0.8,0.0012799999999999999,0.0003467180676327321,0.7746689220419466,20.0
2024-12-31,validation,lightgbm,0.08548101067279709,0.75,0.75,0.0012,0.08428101067279709,0.8399588017284482,20.0
2025-01-27,test,lightgbm,0.03087784541515252,1.0,0.0,0.0003,0.03057784541515252,1.0305778454151526,20.0
2025-02-28,test,lightgbm,-0.003421958315879492,0.8,0.8,0.0012799999999999999,-0.004701958315879492,1.0257321113447417,20.0
2025-03-31,test,lightgbm,-0.037809032111944356,0.8500000000000001,0.8500000000000001,0.00136,-0.039169032111944356,0.9855551773372271,20.0
2025-04-30,test,lightgbm,0.02463588386552429,0.75,0.75,0.0012,0.02343588386552429,1.0086525340163683,20.0
2025-05-30,test,lightgbm,0.023785352687648247,0.8,0.8,0.0012799999999999999,0.022505352687648247,1.0313526150336967,20.0
2025-06-30,test,lightgbm,0.07067789311132036,0.7000000000000001,0.7000000000000001,0.00112,0.06955789311132037,1.1030913299902914,20.0
2025-07-31,test,lightgbm,0.15535921162437322,0.65,0.65,0.00104,0.1543192116243732,1.2733195143840745,20.0
2025-08-29,test,lightgbm,0.008872601093408383,0.8500000000000001,0.8500000000000001,0.00136,0.007512601093408382,1.2828854559600946,20.0
2025-09-30,test,lightgbm,-0.005890357737321455,0.75,0.75,0.0012,-0.007090357737321455,1.2737893391413309,20.0
2025-10-31,test,lightgbm,-0.015370416502454038,0.8,0.8,0.0012799999999999999,-0.016650416502454038,1.252580216108242,20.0
2025-11-28,test,lightgbm,0.02679238518304482,0.8,0.8,0.0012799999999999999,0.02551238518304482,1.2845365250542569,20.0
2023-01-31,validation,ridge,-0.04764903534073699,1.0,0.0,0.0003,-0.04794903534073699,0.952050964659263,20.0
2023-02-28,validation,ridge,-0.005597528133107044,0.55,0.55,0.00088,-0.006477528133107043,0.9458840277515309,20.0
