date,active_return,benchmark_return,active_weight,strategy_return
2023-01-03,0.0,0.00420117212531812,0.0,0.00420117212531812
2023-01-04,0.0,0.0012985161755223462,0.0,0.0012985161755223462
2023-01-05,0.0,0.019427566417087982,0.0,0.019427566417087982
2023-01-06,0.0,0.003102017745297392,0.0,0.003102017745297392
2023-01-09,0.0,0.008096382898211019,0.0,0.008096382898211019
2023-01-10,0.0,0.0010849664186434183,0.0,0.0010849664186434183
2023-01-11,0.0,-0.0018526070251561055,0.0,-0.0018526070251561055
2023-01-12,0.0,0.0019546732171065173,0.0,0.0019546732171065173
2023-01-13,0.0,0.014064171128318481,0.0,0.014064171128318481
2023-01-16,0.0,0.015606581540854814,0.0,0.015606581540854814
2023-01-17,0.0,-0.00017450609711644471,0.0,-0.00017450609711644471
2023-01-18,0.0,-0.0016745212547623067,0.0,-0.0016745212547623067
2023-01-19,0.0,0.00622068882263993,0.0,0.00622068882263993
2023-01-20,0.0,0.006140267738194982,0.0,0.006140267738194982
2023-01-30,0.0,0.004739489048342094,0.0,0.004739489048342094
2023-01-31,0.0,-0.010588799539195337,0.0,-0.010588799539195337
2023-02-01,0.00990620158018607,0.00940022533366447,0.0,0.00940022533366447
2023-02-02,-0.004380364656070168,-0.0035233878365843463,0.0,-0.0035233878365843463
2023-02-03,-0.011085403912898029,-0.009451324782877246,0.0,-0.009451324782877246
2023-02-06,-0.006070798097789765,-0.013220392666958292,0.0,-0.013220392666958292
2023-02-07,0.0040206259431652125,0.001799809091433735,0.0,0.001799809091433735
2023-02-08,-0.005754582533095576,-0.0044189956435068956,0.0,-0.0044189956435068956
2023-02-09,0.01052714144172251,0.013423333161847628,0.0,0.013423333161847628
2023-02-10,-0.0027773727826502226,-0.005942302764571972,0.0,-0.005942302764571972
2023-02-13,0.005196583116762854,0.009074887848814717,0.0,0.009074887848814717
2023-02-14,0.004655322715861443,0.00041418350438560125,0.0,0.00041418350438560125
2023-02-15,-0.008030664475418892,-0.005210950007794479,0.0,-0.005210950007794479
2023-02-16,-0.011201999685008013,-0.007323951394689221,0.0,-0.007323951394689221
2023-02-17,-0.007410191142899425,-0.014408398354498475,0.0,-0.014408398354498475
2023-02-20,0.023474469555567534,0.024534001304248543,0.0,0.024534001304248543
2023-02-21,0.009335982266327703,0.0026282877305414676,0.0,0.0026282877305414676
2023-02-22,-0.0020868088709334875,-0.009025050372149734,0.0,-0.009025050372149734
2023-02-23,0.0031545840193880625,-0.0008045628793293957,0.0,-0.0008045628793293957
2023-02-24,-0.009682899325243466,-0.010381157849788436,0.0,-0.010381157849788436
2023-02-27,-0.004981007207433996,-0.004235682449966083,0.0,-0.004235682449966083
2023-02-28,0.0061033172099060895,0.00633414579453162,0.0,0.00633414579453162
2023-03-01,0.012577389030389075,0.014125416729256823,0.0,0.014125416729256823
2023-03-02,-0.008901179286240901,-0.002230174573591648,0.0,-0.002230174573591648
2023-03-03,0.0059067192675508196,0.00311180578597825,0.0,0.00311180578597825
2023-03-06,0.002275566850522992,-0.005215066569927429,0.0,-0.005215066569927429
2023-03-07,-0.017361755744283447,-0.014640581812135567,0.0,-0.014640581812135567
2023-03-08,0.0028145650094590913,-0.003641575529102492,0.0,-0.003641575529102492
2023-03-09,-0.0044901919095368115,-0.0035341644448412257,0.0,-0.0035341644448412257
2023-03-10,-0.018806126959696967,-0.013113746394299963,0.0,-0.013113746394299963
2023-03-13,0.006561548568598807,0.010473754461405749,0.0,0.010473754461405749
2023-03-14,-0.0072383938059099595,-0.005984604431477081,0.0,-0.005984604431477081
2023-03-15,-0.005474334820361526,0.0005537185826691715,0.0,0.0005537185826691715
2023-03-16,-0.010969439131622627,-0.01197709399428426,0.0,-0.01197709399428426
2023-03-17,0.006672136648500304,0.004993183174900162,0.0,0.004993183174900162
2023-03-20,-0.009129951667737668,-0.004986941308815385,0.0,-0.004986941308815385
2023-03-21,0.0018257659285336736,0.010992727484128828,0.0,0.010992727484128828
2023-03-22,-0.0017092727443899225,0.004285002363662915,0.0,0.004285002363662915
2023-03-23,0.017926667629479143,0.009913081140029867,0.0,0.009913081140029867
2023-03-24,-0.0026664995580524264,-0.0029818106283606705,0.0,-0.0029818106283606705
