total_return,annualized_return,annualized_volatility,max_drawdown,sharpe,period,strategy,selected_on_validation
0.016343771975537935,0.008138766229896621,0.17528750022585574,0.2480391398468842,0.13302056889283048,validation,csi300,False
-0.17093377983162117,-0.08946926456687976,0.19292630415618847,0.3512972951798544,-0.38987895871132283,validation,ensemble_top10,False
-0.1347347093170228,-0.06980362789195038,0.17451222770062652,0.327103277879107,-0.3279123767558034,validation,ensemble_top20,False
-0.019240444537350188,-0.009666947202785825,0.17134808668759816,0.2563014067078958,0.028191523973002185,validation,ensemble_top30,False
0.05150909861274844,0.025431176926442145,0.16711114952237138,0.19139720729806053,0.23311732729520387,validation,ensemble_top50,False
-0.0009870104117417622,-0.0004936270396980191,0.1619600074943483,0.2360304692898595,0.0775089924010303,validation,lgb_defensive_top10,False
0.0498191028326358,0.02460680401441606,0.15992500217043323,0.19895219568091604,0.23133590501577678,validation,lgb_defensive_top20,False
0.07330467224436243,0.03600418543766626,0.15684070866670008,0.19821221039195136,0.30338499745587155,validation,lgb_defensive_top30,False
0.06185851043912205,0.030465191279706483,0.16088873764293618,0.20403155499607806,0.2662748899356529,validation,lgb_defensive_top50,False
-0.02756223874905883,-0.013877410637530785,0.1810723493302465,0.2906125291580449,0.012549688186413022,validation,lgb_mom_quality_top10,False
-0.04059895313145545,-0.020509802566383795,0.1682248509128471,0.2651618533930544,-0.03969102541850482,validation,lgb_mom_quality_top20,False
0.04819108048626375,0.02381203376706975,0.16564104727091414,0.23584366835516124,0.22423597819282395,validation,lgb_mom_quality_top30,False
0.0957111644569355,0.04676222918910078,0.16383778003398206,0.18314511776849973,0.360198509614701,validation,lgb_mom_quality_top50,True
-0.19809468641340788,-0.10450833974481255,0.20047654820108998,0.37639975081272636,-0.4510232650266581,validation,lgb_top10,False
-0.08684870426762692,-0.044410498314065294,0.17782973136663482,0.3023733692389601,-0.16715391880307853,validation,lgb_top20,False
0.008219209873546074,0.0041011950364095995,0.1726059354566309,0.2514093853813838,0.1093166330361,validation,lgb_top30,False
0.05744900408027265,0.028323394696567528,0.16612464646812858,0.20897447209297215,0.2504803437722504,validation,lgb_top50,False
-0.39055682923907853,-0.21933158718895163,0.2266607958385214,0.4951378598616746,-0.9794925897747712,validation,ridge_top10,False
-0.2786990721624222,-0.15070562945608912,0.20363399701853388,0.40974353491432125,-0.7010222310012594,validation,ridge_top20,False
-0.19955731831875756,-0.10532537664174113,0.1926775257921617,0.3535385674657947,-0.48205010161232376,validation,ridge_top30,False
-0.09218725479262746,-0.04720792131369367,0.18561090532426436,0.302234689784986,-0.16866754912780546,validation,ridge_top50,False
0.17663134379993406,0.17584401213789924,0.14958528349325947,0.104915155674276,1.1585522514072806,test,csi300,False
0.14687968611256919,0.14623306165463346,0.16260673539659895,0.1264255373276153,0.9221747161674656,test,ensemble_top10,False
0.1497400607782713,0.14908004455646484,0.14088288783257527,0.09524007496206843,1.057940859620428,test,ensemble_top20,False
0.08631673910779347,0.08594668181025655,0.13926280298395305,0.12101928955492658,0.6627917980764688,test,ensemble_top30,False
0.1026777617436414,0.10223432239615571,0.13376912522059728,0.11585174794974162,0.7956232786304023,test,ensemble_top50,False
0.29265163992848753,0.2912868545522007,0.15074114099833633,0.1060829924065656,1.7732296430008614,test,lgb_defensive_top10,False
0.14150749139894891,0.14088593956373474,0.13634405626348525,0.09702836919796631,1.0361757079839464,test,lgb_defensive_top20,False
0.13453571196925496,0.13394654371793813,0.13335986095122535,0.10029387398569645,1.0103645345532586,test,lgb_defensive_top30,False
0.11302679761868473,0.11253642660153496,0.13263349087624476,0.09748564419570727,0.8713825919108874,test,lgb_defensive_top50,False
0.19615172200788833,0.1952703919409795,0.17492328246311456,0.1334545221630853,1.1079234372271958,test,lgb_mom_quality_top10,False
0.18468227629977418,0.18385633564398174,0.1434393543942762,0.08280214945448128,1.2492643066948401,test,lgb_mom_quality_top20,False
0.18275125812768467,0.18193459833327918,0.13687756209130797,0.08607635700796168,1.290650664518793,test,lgb_mom_quality_top30,False
0.14142993608609244,0.14080874545290722,0.13530425560930912,0.10117922229673182,1.0421994855878993,test,lgb_mom_quality_top50,True
0.3578401781208109,0.3561319655628845,0.1915628828288264,0.13658450761092777,1.6879634976201416,test,lgb_top10,False
0.3124498387894745,0.3109821448228218,0.16046979086874572,0.11410204334318119,1.7694955424352306,test,lgb_top20,False
0.24503526449065727,0.2439128623755793,0.15102585854365122,0.11540435692259865,1.5225085882826075,test,lgb_top30,False
0.13937708124576198,0.13876544361893894,0.13599311541739764,0.11037136054119645,1.0245168253846322,test,lgb_top50,False
0.1942791531068071,0.19340689711846726,0.1895048607773534,0.14564730419583038,1.0290478014607145,test,ridge_top10,False
0.20704088155070033,0.20610654759701674,0.1690208337519568,0.13431948736491084,1.1943713844716999,test,ridge_top20,False
0.21328957688403594,0.2123246449917353,0.1586111835204012,0.12378075972718028,1.29434669998064,test,ridge_top30,False
0.16007691885871722,0.1593682648440069,0.15041997001625282,0.11614839142148126,1.0594106534086478,test,ridge_top50,False
