period,strategy,total_return,annualized_return,max_drawdown,sharpe
validation,regime_overlay,0.06873411435331489,0.033795973271957935,0.23531955790959014,0.2798969500488861
validation,csi300,0.016343771975537935,0.008138766229896621,0.2480391398468842,0.13302056889283048
test,regime_overlay,0.2551446741798764,0.2539714258048005,0.11021175296169039,1.5452376745414822
test,csi300,0.17663134379993406,0.17584401213789924,0.104915155674276,1.1585522514072806
