date,strategy,nav,daily_return,cash,holdings_count,is_rebalance,buy_amount,sell_amount,turnover,transaction_cost,delist_writeoff,blocked_buys,blocked_sells,cumulative_transaction_cost,cumulative_turnover,cash_ratio
2020-01-02,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-03,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-06,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-07,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-08,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-09,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-10,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-13,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-14,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-15,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-16,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-17,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-20,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-21,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-22,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-01-23,monthly_equal,1000000.0,0.0,1000000.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
2020-02-03,monthly_equal,1006680.1476045534,0.006680147604553488,0.0,20,True,999700.0899730085,0.0,0.9997000899730085,299.91002699190244,0.0,0,0,299.91002699190244,0.9997000899730085,0.0
2020-02-04,monthly_equal,978065.4904777921,-0.028424775431254212,0.0,20,False,0.0,0.0,0.0,0.0,0.0,0,0,299.91002699190244,0.9997000899730085,0.0
2020-02-05,monthly_equal,1014742.8591325907,0.03749991080544257,0.0,20,False,0.0,0.0,0.0,0.0,0.0,0,0,299.91002699190244,0.9997000899730085,0.0
2020-02-06,monthly_equal,1040859.227930053,0.02573693282235734,0.0,20,False,0.0,0.0,0.0,0.0,0.0,0,0,299.91002699190244,0.9997000899730085,0.0
2020-02-07,monthly_equal,1050452.8793571428,0.009217049884996165,0.0,20,False,0.0,0.0,0.0,0.0,0.0,0,0,299.91002699190244,0.9997000899730085,0.0
2020-02-10,monthly_equal,1065160.295808684,0.014001024453892619,0.0,20,False,0.0,0.0,0.0,0.0,0.0,0,0,299.91002699190244,0.9997000899730085,0.0
