strategy,annualized_return,annualized_volatility,annualized_sharpe,max_drawdown,total_turnover,total_transaction_cost,average_cash_ratio,maximum_single_asset_weight,positive_years,worst_year_return
monthly_vol_target_10,0.17572378307327607,0.1309003245421242,1.3025881947523896,0.18087152350267555,80.59727504160817,109377.40324136519,0.38740673815102006,0.07769713069167701,6,0.031023301846419216
monthly_vol_target_15,0.24227371200905723,0.1799385431069989,1.2963545925317599,0.2520543857701525,109.48040248444131,176264.28665425564,0.1706170422294147,0.0828841819009084,6,0.04730143396372877
monthly_risk_parity_cap_08_vol_15,0.2374997471803284,0.1814721677911802,1.265747644372922,0.2427763184680709,112.08985156349046,179291.91794030328,0.14725442776935416,0.1292952514268388,6,0.04206748329233112
monthly_vol_target_20,0.2685018779042525,0.20498786067471705,1.2637823963459667,0.2823156113545383,122.35993132991605,208193.15600009123,0.07352128383829096,0.10353549120977049,6,0.06266379577357606
monthly_equal,0.2834460913998711,0.227093325981922,1.213604422609062,0.30035169758689395,130.54685460328847,233288.37479696347,0.014248573856324803,0.10353413773596874,6,0.019865831736197492
monthly_risk_parity_cap_08,0.2679357722622495,0.2207169537213315,1.187003350400714,0.28058193986620217,130.37992541148435,227340.514335529,0.013971425874952748,0.12849623658677276,6,0.021486505197723105
monthly_risk_parity,0.2675697360037399,0.22049605011296422,1.1866581241368976,0.2805819775161267,130.467078758819,227592.36289429938,0.013943383244799858,0.1434152507399288,6,0.022300770786694457
