strategy,start_date,end_date,trading_days,final_nav,total_return,annualized_return,annualized_volatility,annualized_sharpe,max_drawdown,total_turnover,average_rebalance_turnover,total_transaction_cost,total_delist_writeoff,cost_as_initial_capital,blocked_buys,blocked_sells,trade_count,buy_trade_count,sell_trade_count,delist_writeoff_events,maximum_single_asset_weight,average_holdings_count,average_cash_ratio,maximum_cash_ratio,average_target_equity_exposure,minimum_target_equity_exposure,average_forecast_volatility,maximum_target_weight,solver_success_rate,change_vs_equal_annualized_return,change_vs_equal_annualized_volatility,change_vs_equal_annualized_sharpe,change_vs_equal_max_drawdown,change_vs_equal_total_turnover,change_vs_equal_total_transaction_cost,positive_years,worst_year_return,median_year_return
monthly_vol_target_10,2020-01-02,2025-12-31,1455,2646691.8113115677,1.6466918113115678,0.17572378307327607,0.1309003245421242,1.3025881947523896,0.18087152350267555,80.59727504160817,1.1351728879099745,109377.40324136519,0.0,0.10937740324136519,7,6,2707,1368,1339,0,0.07769713069167701,25.782487838776927,0.38740673815102006,1.0,0.6121087712209253,0.26606480425593254,0.18171194149618308,0.05,0.0,-0.10772230832659502,-0.09619300143979781,0.08898377214332753,-0.1194801740842184,-49.949579561680295,-123910.97155559828,6,0.031023301846419216,0.1894749962825404
monthly_vol_target_15,2020-01-02,2025-12-31,1455,3685290.7219340904,2.6852907219340905,0.24227371200905723,0.1799385431069989,1.2963545925317599,0.2520543857701525,109.48040248444131,1.5419774997808635,176264.28665425564,0.0,0.17626428665425564,7,6,2707,1380,1327,0,0.0828841819009084,32.367616400277974,0.1706170422294147,1.0,0.8342928314373984,0.3990972063838987,0.18171194149618308,0.05,0.0,-0.04117237939081386,-0.04715478287492311,0.08275016992269779,-0.04829731181674146,-21.066452118847153,-57024.08814270783,6,0.04730143396372877,0.27005953170065344
monthly_risk_parity_cap_08_vol_15,2020-01-02,2025-12-31,1455,3600957.260718304,2.600957260718304,0.2374997471803284,0.1814721677911802,1.265747644372922,0.2427763184680709,112.08985156349046,1.5787303037111333,179291.91794030328,1.618900569155812e-12,0.17929191794030327,7,6,2707,1365,1342,2,0.1292952514268388,33.88533703961084,0.14725442776935416,1.0,0.8586218698194706,0.4174096797223253,0.17157192536680185,0.08000000000001088,1.0,-0.04594634421954269,-0.045621158190741806,0.05214322176385999,-0.057575379118823045,-18.45700303979801,-53996.456856660196,6,0.04206748329233112,0.25879267162997177
monthly_vol_target_20,2020-01-02,2025-12-31,1455,4178564.933216901,3.178564933216901,0.2685018779042525,0.20498786067471705,1.2637823963459667,0.2823156113545383,122.35993132991605,1.7233793145058596,208193.15600009123,0.0,0.20819315600009122,7,6,2707,1397,1310,0,0.10353549120977049,30.631688672689368,0.07352128383829096,1.0,0.9360099261129012,0.5321296085118651,0.18171194149618308,0.05,0.0,-0.014944213495618586,-0.022105465307204947,0.05017797373690458,-0.01803608623235564,-8.186923273372415,-25095.218796872243,6,0.06266379577357606,0.28432526252602097
monthly_equal,2020-01-02,2025-12-31,1455,4483418.862634758,3.4834188626347586,0.2834460913998711,0.227093325981922,1.213604422609062,0.30035169758689395,130.54685460328847,1.8386880930040626,233288.37479696347,3.2741809263825413e-12,0.23328837479696346,7,6,2707,1405,1302,2,0.10353413773596874,31.472550382209867,0.014248573856324803,1.0,1.0000000000000002,1.0000000000000002,0.18171194149618308,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.019865831736197492,0.28432526252602497
monthly_risk_parity_cap_08,2020-01-02,2025-12-31,1455,4167365.51591538,3.16736551591538,0.2679357722622495,0.2207169537213315,1.187003350400714,0.28058193986620217,130.37992541148435,1.8363369776265401,227340.514335529,0.0,0.22734051433552901,7,6,2707,1375,1332,0,0.12849623658677276,31.355802640722725,0.013971425874952748,1.0,1.0,0.9999999999999997,0.17157192536680185,0.08000000000001088,1.0,-0.015510319137621575,-0.006376372260590513,-0.026601072208348064,-0.019769757720691783,-0.16692919180411536,-5947.860461434466,6,0.021486505197723105,0.2670012420807464
monthly_risk_parity,2020-01-02,2025-12-31,1455,4160137.453956485,3.1601374539564846,0.2675697360037399,0.22049605011296422,1.1866581241368976,0.2805819775161267,130.467078758819,1.8375644895608312,227592.36289429938,1.0732037480920553e-12,0.22759236289429938,7,6,2707,1374,1333,1,0.1434152507399288,30.342599027102153,0.013943383244799858,1.0,1.0,0.9999999999999997,0.1709128537464382,0.12373288575425184,1.0,-0.015876355396131192,-0.00659727586895778,-0.026946298472164454,-0.01976972007076727,-0.0797758444694523,-5696.01190266409,6,0.022300770786694457,0.2683463184359196
