strategy,window_days,observations,positive_return_ratio,median_rolling_return,worst_rolling_return,median_rolling_volatility,positive_sharpe_ratio
monthly_equal,63,1393,0.7386934673366834,0.07812612382776774,-0.2730388842031849,0.18851655940199114,0.7544867193108399
monthly_equal,121,1335,0.800749063670412,0.12195929086647461,-0.24445410499641163,0.1915879925939372,0.8471910112359551
monthly_equal,242,1214,0.871499176276771,0.22012402964297195,-0.24610559119738573,0.22398955639214793,0.9093904448105437
monthly_risk_parity,63,1393,0.7372577171572147,0.07538162251172431,-0.2544574561694274,0.1857317681252971,0.7573582196697775
monthly_risk_parity,121,1335,0.8187265917602996,0.11653349588333883,-0.2259432679504071,0.19033675550614668,0.8569288389513109
monthly_risk_parity,242,1214,0.8830313014827018,0.20766070514798762,-0.23255387277560513,0.21969912840431965,0.913509060955519
monthly_risk_parity_cap_08,63,1393,0.7372577171572147,0.07496960578353895,-0.2545444965092927,0.18605351016981217,0.7559224694903087
monthly_risk_parity_cap_08,121,1335,0.8172284644194756,0.11574412619577168,-0.22743660186601,0.19040714206040188,0.8561797752808988
monthly_risk_parity_cap_08,242,1214,0.8822075782537068,0.20654861654701373,-0.2336695065256218,0.21971670922813355,0.913509060955519
monthly_risk_parity_cap_08_vol_15,63,1393,0.7401292175161522,0.05967736063623397,-0.21760397431984646,0.1626436937220316,0.7516152189519024
monthly_risk_parity_cap_08_vol_15,121,1335,0.7850187265917603,0.10186874721024375,-0.1874939577704383,0.16958839334371278,0.8119850187265918
monthly_risk_parity_cap_08_vol_15,242,1214,0.899505766062603,0.18372288110965562,-0.186175684194134,0.17921496970977338,0.9168039538714992
monthly_vol_target_10,63,1393,0.7343862167982771,0.04298947425616606,-0.15724424905557544,0.11930397170764445,0.7444364680545585
monthly_vol_target_10,121,1335,0.7835205992509363,0.0734304453020096,-0.13872358194527967,0.12454046278765872,0.80374531835206
monthly_vol_target_10,242,1214,0.8937397034596376,0.13826280448725947,-0.14235426254097583,0.12916024970504608,0.8986820428336079
monthly_vol_target_15,63,1393,0.7343862167982771,0.05976886604051601,-0.2273956779181433,0.16274698265687773,0.747307968413496
monthly_vol_target_15,121,1335,0.7760299625468164,0.10371611737700781,-0.20051146564755928,0.16569731827983414,0.8067415730337079
monthly_vol_target_15,242,1214,0.8904448105436573,0.19144183312906637,-0.2022591452238397,0.17660597531811656,0.9019769357495881
monthly_vol_target_20,63,1393,0.7372577171572147,0.07025404111908395,-0.25429870670706456,0.1804966701776807,0.7523330940416367
monthly_vol_target_20,121,1335,0.7760299625468164,0.11346116137332718,-0.22497704649746753,0.1863339817202015,0.8112359550561797
monthly_vol_target_20,242,1214,0.8978583196046128,0.20168613792731827,-0.2266711060133918,0.20894761785583818,0.9176276771004942
