category,relative_path,size_bytes,modified_time,sha256
database_snapshot,data/database/cf2026_project1.duckdb,7701540864,2026-09-25T22:47:48,6ef4481c580f1757a78fc711a0626860ade94cdd74f6efba3b20dbdd7e902631
raw_snapshot_manifest,outputs/data_audit/06_raw_snapshot_manifest_sha256.csv,1370290,2026-09-22T12:15:50,2f8f8b212baf1f933ab9ea8442b1df4815c68590f5cbfb232f2f0411dfea4c36
