ts_code,trade_date,symbol,name,area,industry,market,exchange,list_status,list_date,delist_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,reference_factor,open_adj,high_adj,low_adj,close_adj,limit_pre_close,up_limit,down_limit,is_suspended,is_st,is_research_universe,st_data_available,has_stock_metadata,is_listed_on_date,has_invalid_raw_price,has_invalid_adjusted_price,has_invalid_adj_factor,has_invalid_volume,has_invalid_amount,has_zero_volume,is_open_at_up_limit,is_open_at_down_limit,is_close_at_up_limit,is_close_at_down_limit,can_trade_at_open
000001.SZ,2025-01-03,000001,平安银行,深圳,银行,主板,SZSE,L,1991-04-03,,11.44,11.54,11.36,11.38,11.43,-0.05,-0.4374,1154680.44,1320520.978,127.7841,134.5794,10.86236157985546,10.957312292966085,10.78640100936696,10.805391151989086,11.43,12.57,10.29,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000002.SZ,2025-01-03,000002,万科A,深圳,全国地产,主板,SZSE,L,1991-01-29,,7.17,7.18,6.96,7.0,7.11,-0.11,-1.5471,1124915.16,795154.845,181.704,181.704,7.17,7.18,6.96,7.0,7.11,7.82,6.4,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000004.SZ,2025-01-03,000004,国华退,,,主板,SZSE,D,1990-12-01,2026-07-14,14.2,14.4,12.76,12.8,14.18,-1.38,-9.732,123929.75,164927.377,4.064,4.064,14.2,14.4,12.76,12.8,14.18,15.6,12.76,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000006.SZ,2025-01-03,000006,深振业A,深圳,区域地产,主板,SZSE,L,1992-04-27,,7.3,7.45,6.86,6.91,7.25,-0.34,-4.6897,392405.05,275530.027,39.74,39.74,7.300000000000001,7.450000000000001,6.859999999999999,6.91,7.25,7.98,6.53,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000007.SZ,2025-01-03,000007,全新好,深圳,其他商业,主板,SZSE,L,1992-04-13,,6.99,7.02,6.6,6.6,7.02,-0.42,-5.9829,79353.0,53622.184,8.284,8.284,6.99,7.02,6.6,6.6,7.02,7.72,6.32,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000008.SZ,2025-01-03,000008,神州高铁,北京,运输设备,主板,SZSE,L,1992-05-07,,2.84,2.85,2.63,2.65,2.84,-0.19,-6.6901,1177823.73,319412.025,22.408,22.408,2.84,2.85,2.63,2.65,2.84,3.12,2.56,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000009.SZ,2025-01-03,000009,中国宝安,深圳,电气设备,主板,SZSE,L,1991-06-25,,8.9,8.97,8.68,8.72,8.9,-0.18,-2.0225,143679.27,126688.166,8.977,9.0053,8.872030915127759,8.941810933561348,8.65272228576505,8.692596582012815,8.9,9.79,8.01,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000010.SZ,2025-01-03,000010,*ST美丽,深圳,建筑工程,主板,SZSE,L,1995-10-27,,2.75,2.78,2.61,2.64,2.71,-0.07,-2.583,283047.16,75658.571,10.775,10.775,2.75,2.78,2.61,2.64,2.71,2.98,2.44,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000011.SZ,2025-01-03,000011,深物业A,深圳,房产服务,主板,SZSE,L,1992-03-30,,8.55,8.68,8.27,8.27,8.62,-0.35,-4.0603,48118.09,40593.401,4.411,4.411,8.55,8.68,8.27,8.27,8.62,9.48,7.76,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000012.SZ,2025-01-03,000012,南玻A,深圳,玻璃,主板,SZSE,L,1992-02-28,,5.16,5.22,5.06,5.08,5.14,-0.06,-1.1673,160820.37,82624.045,29.9276,30.3449,5.0890402011540665,5.1482150872139965,4.99041539105418,5.010140353074157,5.14,5.65,4.63,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
