window_days,observations,positive_return_ratio,positive_sharpe_ratio,median_rolling_return,worst_rolling_return,best_rolling_return,median_rolling_sharpe,worst_rolling_sharpe
63,1393,0.6791098348887293,0.7042354630294329,0.056545435228945395,-0.3682081751076054,0.5113910835492301,1.1662404704939706,-4.949267664566712
121,1335,0.7288389513108614,0.7692883895131086,0.09597413313408865,-0.32309765822675474,0.6015864231750505,0.9954007878074269,-2.4804234520112116
242,1214,0.7973640856672158,0.8616144975288303,0.1762080994966554,-0.40129628658639693,1.0667504416367155,0.8983576756522198,-2.027906037038995
