date,strategy,asset,side,price,units,gross_amount,cost,blocked
2020-01-06,multi_equal_3,000608.SZ,BUY,5.0,9997.000899730081,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,000678.SZ,BUY,6.96,7181.753519921035,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,000692.SZ,BUY,2.97,16829.967844663435,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,000779.SZ,BUY,9.888333333333334,5054.947362074877,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,002561.SZ,BUY,7.335198641765706,6814.403663732026,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,002779.SZ,BUY,11.642131147540983,4293.458290856661,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,002882.SZ,BUY,9.38623144370171,5325.3539291523675,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,600629.SH,BUY,5.581157415412992,8956.028432491657,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,600719.SH,BUY,4.64531802442136,10760.297623514538,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,600785.SH,BUY,14.25997472688733,3505.265994925164,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,600841.SH,BUY,6.914306594153637,7229.2143569269865,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,600857.SH,BUY,9.110337581811919,5486.624842359473,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,600890.SH,BUY,6.219999999999999,8036.174356696209,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,601199.SH,BUY,3.403056531780299,14688.267453641416,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,601518.SH,BUY,1.7430935709739022,28676.030553381457,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,601882.SH,BUY,6.7099575697391,7449.377135270612,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,603088.SH,BUY,2.7136111233853266,18420.1059864069,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,603238.SH,BUY,11.091092436974789,4506.770165580221,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,603628.SH,BUY,7.785247324269599,6420.477399970068,49985.00449865041,14.995501349595122,False
2020-01-06,multi_equal_3,603997.SH,BUY,7.7432765707574855,6455.278207085999,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,000018.SZ,BUY,0.27,185129.6462912978,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,000798.SZ,BUY,6.5,7690.000692100062,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,000955.SZ,BUY,8.013256097560975,6237.789469110383,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,002205.SZ,BUY,9.118806466951972,5481.529263703988,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,002473.SZ,BUY,8.79,5686.5761659443015,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,002490.SZ,BUY,3.9,12816.667820166771,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,002678.SZ,BUY,8.121633237822351,6154.550819393176,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,002748.SZ,BUY,7.272654912305059,6873.00650194163,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,002969.SZ,BUY,10.931620009178523,4572.515734784182,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,600137.SH,BUY,14.49546500777605,3448.320179575895,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,600250.SH,BUY,6.62,7550.604909161692,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,600272.SH,BUY,7.4500153846153845,6709.382721795673,49985.00449865041,14.995501349595122,False
2020-01-06,single_amihud_illiquidity_20,600379.SH,BUY,5.398101532836452,9259.737741980856,49985.00449865041,14.995501349595122,False
