strategy,max_daily_return_nav_error,compounded_return,nav_based_return,cumulative_return_error,daily_cost_sum,metric_cost,ending_cumulative_cost,cost_reconciliation_error
multi_equal_3,0.0,2.0538002646651887,2.053800264665201,1.2434497875801753e-14,691115.8903382106,691115.8903382106,691115.8903382105,1.1641532182693481e-10
single_amihud_illiquidity_20,0.0,-0.45379408478306027,-0.4537940847830616,1.3322676295501878e-15,66362.81981339952,66362.81981339952,66362.81981339952,0.0
single_low_volatility_20,0.0,-0.05655921628954563,-0.05655921628954719,1.5543122344752192e-15,181483.1850903139,181483.1850903139,181483.1850903139,0.0
single_reversal_5,0.0,-0.9252101975355081,-0.9252101975355081,0.0,114518.09514222719,114518.09514222719,114518.0951422272,1.4551915228366852e-11
