date,window_days,rolling_return,rolling_annualized_volatility,rolling_sharpe
2020-04-08,63,0.01720364872661384,0.3088774103963926,0.36831274718007867
2020-04-09,63,0.04281493483750132,0.31264674008634563,0.6732182157776851
2020-04-10,63,0.012719267129751577,0.3180303949215831,0.3132415291940177
2020-04-13,63,-0.004036747033928756,0.31876665077884775,0.11214384896002548
2020-04-14,63,-0.0074318885716537775,0.3183592988461057,0.07068364799150721
2020-04-15,63,-0.005092614297887432,0.3182234902813258,0.09899796317039603
2020-04-16,63,-0.004923857615993454,0.3182453408405894,0.10105988594124683
2020-04-17,63,-0.0007966165386330548,0.3182838394312175,0.15104707597550873
2020-04-20,63,0.0013108399589725206,0.3185353603984831,0.1765859272964696
2020-04-21,63,-0.008384827452984966,0.31907931702952874,0.059667293656679825
2020-04-22,63,0.0026184765468144633,0.31894568827671593,0.19248584608687191
2020-04-23,63,0.00813188156660516,0.31842500139819896,0.25845801516439376
2020-04-24,63,0.003339265231097066,0.3188433166367855,0.20110598376490652
2020-04-27,63,-0.02345996328472799,0.32043457355629,-0.12286531277888597
2020-04-28,63,-0.04069383844514107,0.3238255436268402,-0.3293461685484777
2020-04-29,63,-0.026537043406125616,0.3236647787175552,-0.15586677244316446
2020-04-30,63,0.023719932335310556,0.31641595480182577,0.44435200999363955
2020-05-06,63,0.15115517610728335,0.2531108750297759,2.263612909452286
2020-05-07,63,0.1909191145517073,0.24333188335194325,2.882054075120453
2020-05-08,63,0.17076258180393533,0.2383459574606573,2.6616247278507004
2020-05-11,63,0.14122711415502165,0.23679909638596178,2.262031387069018
2020-05-12,63,0.12318468628753254,0.23547525408489178,2.0129533835237683
2020-05-13,63,0.09368392120159186,0.22895713642183513,1.616554735141277
2020-05-14,63,0.0907756933948749,0.2290371983009276,1.5713447502251963
2020-05-15,63,0.08182325678904445,0.22843853537488124,1.4361002334899957
2020-05-18,63,0.08537762143395944,0.2277927916238155,1.4949177533340772
2020-05-19,63,0.09388068228027846,0.2280935788501249,1.624853275911869
2020-05-20,63,0.0690999089545099,0.22534895182970932,1.25083991895315
2020-05-21,63,0.04852133773134204,0.2238779132957536,0.9238045399295476
2020-05-22,63,0.04923247244187312,0.22378498253475257,0.9357438591006809
2020-05-25,63,0.03758084699686148,0.2218739442920627,0.7484533556464273
2020-05-26,63,0.04941726648685463,0.2241071988135506,0.9377300545208779
2020-05-27,63,0.06255707562883117,0.2244795817867377,1.1496715053634474
2020-05-28,63,0.0753153151665018,0.2224756993385271,1.364345734810573
2020-05-29,63,0.0856937140326457,0.2238730255748311,1.522214731474802
2020-06-01,63,0.09948755803574727,0.22605191705562172,1.7245093092003936
2020-06-02,63,0.1441250225678481,0.21809786066625414,2.481520726706216
2020-06-03,63,0.10356489980388894,0.20863964495388992,1.918890524079854
2020-06-04,63,0.09942998215306087,0.20850467235144893,1.8507299461155258
2020-06-05,63,0.08103314536151363,0.2053968503571316,1.5596477040470067
2020-06-08,63,0.05593118159969013,0.2009544955797796,1.1401696723723933
2020-06-09,63,0.041971786232010366,0.19935561934331014,0.891106356744904
2020-06-10,63,0.05920145401325905,0.19454648752345444,1.232368080540006
2020-06-11,63,0.04131451565240307,0.19349638520600893,0.8996373264377286
2020-06-12,63,0.046207269646709515,0.19288721404162476,0.9952972652024734
2020-06-15,63,0.05744276279476512,0.19069416055082558,1.2199134329428467
2020-06-16,63,0.08135821297020063,0.19009531134585486,1.6755799214422984
2020-06-17,63,0.0956603848680877,0.18781492551439866,1.9627609696366843
2020-06-18,63,0.10281006926395375,0.1886732138191,2.0872991806783125
2020-06-19,63,0.11245677027562806,0.1892321716718795,2.2587723097455
2020-06-22,63,0.1004197833175573,0.18877695092359992,2.042031651458606
2020-06-23,63,0.09512897004115994,0.1885506120604334,1.9459207645616188
2020-06-24,63,0.14244829613452703,0.16714388109971368,3.1460401859036677
2020-06-29,63,0.11944403993459418,0.16577687002569422,2.698369337268362
2020-06-30,63,0.1084867665878988,0.16109804120964452,2.5372109378327794
2020-07-01,63,0.11177307168139161,0.16096492456937517,2.6099434751000086
2020-07-02,63,0.11793110723459144,0.16254359793789624,2.716888712508447
2020-07-03,63,0.14648722168473838,0.16002159834849572,3.363863401477686
2020-07-06,63,0.1736412615900309,0.16846960827840085,3.7381461614824945
2020-07-07,63,0.1876492580436988,0.16766696026338135,4.027803815511091
2020-07-08,63,0.19326142199052132,0.16885060845323946,4.108265499527696
2020-07-09,63,0.21583818497463336,0.17025498267036204,4.499896018073491
2020-07-10,63,0.18240415812011057,0.16791316602068293,3.920625632129863
2020-07-13,63,0.19441354531414357,0.17089538639858093,4.082853077643866
2020-07-14,63,0.1807569097563133,0.1664119267927349,3.9222836333411477
2020-07-15,63,0.2051862898804453,0.1558650117521194,4.682869158565971
2020-07-16,63,0.16269428687297482,0.18151313633321595,3.283722166151674
2020-07-17,63,0.16742733146465016,0.18218204744846522,3.358186405610472
2020-07-20,63,0.20999559351666708,0.1912290753278241,3.9292372421389627
2020-07-21,63,0.2081266245168305,0.19101425053386525,3.902264803398272
2020-07-22,63,0.20357533985543674,0.1911643232069289,3.8232757433832703
2020-07-23,63,0.18939318064189203,0.19066722763942562,3.5932575967921063
2020-07-24,63,0.16577145013218297,0.19924997167664701,3.0591479733832743
2020-07-27,63,0.15575832531698408,0.199600669185191,2.8876994859534704
2020-07-28,63,0.1811831846601093,0.20113530530988155,3.2837777468201215
2020-07-29,63,0.20809150373881224,0.20073927391769905,3.722135970425508
2020-07-30,63,0.2268462834969196,0.19659366001689305,4.098419144285723
2020-07-31,63,0.27026789331148393,0.18863108090969197,4.97411610594674
2020-08-03,63,0.2846338832185942,0.19045895945991917,5.155858975722705
2020-08-04,63,0.2637445793354889,0.19014139247269424,4.83165983712671
2020-08-05,63,0.24853478961461284,0.18840040053380258,4.626816679798694
2020-08-06,63,0.244091408695567,0.18874147542670244,4.545972526095559
2020-08-07,63,0.21634147846686314,0.19010717660445697,4.0573377430473645
2020-08-10,63,0.24515559235191842,0.19088714865560102,4.51423385623768
2020-08-11,63,0.23337978202685616,0.19264825607881014,4.284573501093847
2020-08-12,63,0.2396931810428422,0.19282251179846263,4.382935367617321
2020-08-13,63,0.25420601214243566,0.19298140862522498,4.611978881579163
