strategy,start_date,end_date,trading_days,final_nav,total_return,annualized_return,annualized_volatility,annualized_sharpe,max_drawdown,total_turnover,average_rebalance_turnover,total_transaction_cost,total_delist_writeoff,cost_as_initial_capital,blocked_buys,blocked_sells,trade_count,buy_trade_count,sell_trade_count,delist_writeoff_events,maximum_single_asset_weight,average_holdings_count
multi_equal_3,2020-01-02,2025-12-31,1455,3053800.2646652013,2.053800264665201,0.2040379052566319,0.23925376230010748,0.8968753704424107,0.4020520613018158,517.5054425196308,1.6856854805199701,691115.8903382106,76879.74657105167,0.6911158903382106,13,53,11304,6001,5303,3,0.07480973502110623,36.17068134893324
single_low_volatility_20,2020-01-02,2025-12-31,1455,943440.7837104528,-0.05655921628954719,-0.009636870502189643,0.132165100907958,-0.006788742346865291,0.2786741830697552,252.5173220710382,0.8225319937167368,181483.1850903139,42551.35270202387,0.1814831850903139,7,13,8632,4563,4069,1,0.062422355667823164,24.253269098417068
single_amihud_illiquidity_20,2020-01-02,2025-12-31,1455,546205.9152169384,-0.4537940847830616,-0.09569210581158205,0.28131827529466774,-0.21499394347070253,0.7621092389059785,183.71086542050523,0.5984067277540887,66362.81981339952,673844.6082463309,0.06636281981339952,87,80,7834,4066,3768,27,0.0808342677806608,21.503785271851342
single_reversal_5,2020-01-02,2025-12-31,1455,74789.80246449186,-0.9252101975355081,-0.3503281339594526,0.3095932489421869,-1.2360231620782824,0.9545690488030539,571.1719858605865,1.8604950679497927,114518.09514222719,102695.7911870124,0.11451809514222719,39,170,11889,6072,5817,18,0.0767802215637805,22.25808671713696
