year,market,distinct_stocks,observations
2019,主板,2768,167523
2020,主板,2927,669952
2021,主板,3047,706460
2022,主板,3134,728743
2023,主板,3165,744550
2024,主板,3162,745058
2025,主板,3164,742360
2026,主板,3066,61148
