factor,horizon,sample_period,mean_rank_ic,rank_ic_ir,mean_high_minus_low,average_group_monotonicity
amihud_illiquidity_20,5,test_2025,0.044369943062757204,0.29977044073720605,0.00467451727226848,0.19925653632386944
amihud_illiquidity_20,5,train_2020_2023,0.05020345480719354,0.33543075665880295,0.005422314741557097,0.23417827279498815
amihud_illiquidity_20,5,validation_2024,0.019869680084635362,0.07796545064691435,0.0009364635888246836,0.16437030257092647
low_volatility_20,5,test_2025,0.05280937915262056,0.2806532534422826,-0.00036717338950682235,-0.060263120374113445
low_volatility_20,5,train_2020_2023,0.07788403849781424,0.5327147896615302,0.004077976960633655,0.10672741326078392
low_volatility_20,5,validation_2024,0.06627503867033759,0.2665254995884029,0.005173059518162793,0.06342309088556443
reversal_5,5,test_2025,0.04583980281887774,0.3985270298972088,0.0034281283328586563,0.11506186165933376
reversal_5,5,train_2020_2023,0.0260923528070655,0.21198119748597885,0.002581132988111176,0.06613010708986015
reversal_5,5,validation_2024,0.03900566667886942,0.20084516741588274,0.00491796814677505,0.07190743116861423
