frequency,strategy,start_date,end_date,trading_days,final_nav,total_return,annualized_return,annualized_volatility,annualized_sharpe,max_drawdown,total_turnover,average_rebalance_turnover,total_transaction_cost,total_delist_writeoff,cost_as_initial_capital,blocked_buys,blocked_sells,trade_count,buy_trade_count,sell_trade_count,delist_writeoff_events,maximum_single_asset_weight,average_holdings_count
monthly,multi_equal_3,2020-01-02,2025-12-31,1455,4483418.862634758,3.4834188626347586,0.2834460913998711,0.227093325981922,1.213604422609062,0.30035169758689395,130.54685460328847,1.8386880930040626,233288.37479696347,3.2741809263825413e-12,0.23328837479696346,7,6,2707,1405,1302,2,0.10353413773596874,31.472550382209867
weekly,multi_equal_3,2020-01-02,2025-12-31,1455,3053800.2646652013,2.053800264665201,0.2040379052566319,0.23925376230010748,0.8968753704424107,0.4020520613018158,517.5054425196308,1.6856854805199701,691115.8903382106,76879.74657105167,0.6911158903382106,13,53,11304,6001,5303,3,0.07480973502110623,36.17068134893324
monthly,single_amihud_illiquidity_20,2020-01-02,2025-12-31,1455,2106461.2064944096,1.1064612064944095,0.1319165002806597,0.26225613523255825,0.6047120073946634,0.4405981074224351,90.20662012033202,1.2705157763427042,84415.25620817578,296459.6169940272,0.08441525620817578,26,18,2281,1192,1089,7,0.1625671633382873,23.890896455872134
weekly,single_amihud_illiquidity_20,2020-01-02,2025-12-31,1455,546205.9152169384,-0.4537940847830616,-0.09569210581158205,0.28131827529466774,-0.21499394347070253,0.7621092389059785,183.71086542050523,0.5984067277540887,66362.81981339952,673844.6082463309,0.06636281981339952,87,80,7834,4066,3768,27,0.0808342677806608,21.503785271851342
monthly,single_low_volatility_20,2020-01-02,2025-12-31,1455,1651721.3876767505,0.6517213876767505,0.08704596009354892,0.13617590769909854,0.6810492988730833,0.1694075010837951,104.68314855516022,1.4744105430304253,108039.07403633707,0.0,0.10803907403633707,4,6,2453,1287,1166,0,0.09350279546943777,26.093815149409313
weekly,single_low_volatility_20,2020-01-02,2025-12-31,1455,943440.7837104528,-0.05655921628954719,-0.009636870502189643,0.132165100907958,-0.006788742346865291,0.2786741830697552,252.5173220710382,0.8225319937167368,181483.1850903139,42551.35270202387,0.1814831850903139,7,13,8632,4563,4069,1,0.062422355667823164,24.253269098417068
monthly,single_reversal_5,2020-01-02,2025-12-31,1455,236621.27144050354,-0.7633787285594964,-0.21315220450536143,0.3022806194326424,-0.6401205546594111,0.8442056586960431,135.62217251694875,1.9101714439006863,46368.546219997035,383335.4994708509,0.04636854621999704,20,23,2745,1393,1352,18,0.1085173034349162,20.195274496177902
weekly,single_reversal_5,2020-01-02,2025-12-31,1455,74789.80246449186,-0.9252101975355081,-0.3503281339594526,0.3095932489421869,-1.2360231620782824,0.9545690488030539,571.1719858605865,1.8604950679497927,114518.09514222719,102695.7911870124,0.11451809514222719,39,170,11889,6072,5817,18,0.0767802215637805,22.25808671713696
